year,level,samp,inc_var,inc_var_val,geo_var,geo_var_val,group_var,group_var_val,pctl10,pctl25,pctl50,pctl75,pctl90,pctl95,pctl98,pctl99,pctl99_9,pctl99_99,pctl99_999
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xaged,16-24,4764,8454,13870,20740,28590,35040,47520,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xaged,25-34,7717,12770,19900,28620,38920,48210,64390,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xaged,35-44,8855,14810,23620,34860,49690,64700,98380,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xaged,45-54,9529,16030,25310,37610,54640,72200,113000,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xaged,55-64,7604,13060,21960,34540,52240,70730,112300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xaged,65+,5808,9262,15960,29460,49160,69010,109800,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xall,All Sample Members,7306,12460,20720,31900,46760,61460,92980,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xfb,Foreign Born,7164,12770,22000,35130,54680,76750,123400,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xfb,Not Foreign Born,7310,12460,20690,31830,46600,61110,92130,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xrea,Hispanic,6586,10990,17810,28050,41940,56430,85190,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xrea,NH AIAN,5827,10410,17260,26610,38070,46780,62720,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xrea,NH Asian,5675,11150,20990,35550,58000,84660,139800,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xrea,NH Black,5998,9875,15580,23660,33770,41200,51460,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xrea,NH NHOPI,9062,13960,21350,30860,41080,,,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,1,xrea,NH White,7847,13590,22370,33900,49960,66590,103400,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xaged,16-24,6038,10630,17410,26250,36200,44210,58230,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xaged,25-34,10120,15650,23990,34430,46120,55640,72140,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xaged,35-44,12310,20120,30180,43400,60250,76410,105500,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xaged,45-54,13700,22750,34290,49020,68900,89550,127700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xaged,55-64,11090,20310,31920,47180,67960,89590,136600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xaged,65+,8882,15760,27850,43710,66050,91350,144600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xall,All Sample Members,9843,16890,27230,40560,57390,73940,104900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xfb,Foreign Born,9068,14920,23330,35180,51890,67720,100300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xfb,Not Foreign Born,9934,17110,27660,41030,57760,74480,105200,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xrea,Hispanic,8336,13230,20980,31650,44970,55450,75240,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xrea,NH AIAN,6194,11430,20310,31590,44510,54610,71730,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xrea,NH Asian,8528,14440,22010,31390,44500,57490,80020,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xrea,NH Black,9094,14090,21030,31510,43560,52640,68790,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xrea,NH NHOPI,7599,12100,18800,27500,37340,,,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,2,xrea,NH White,11480,19180,29910,43650,61640,80100,114400,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xaged,16-24,6240,10410,16260,23510,32000,39680,55120,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xaged,25-34,9659,15350,23010,32420,44880,56350,76440,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xaged,35-44,10820,17710,27430,40200,59060,79400,120900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xaged,45-54,11050,18340,28440,42620,64180,88270,140500,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xaged,55-64,8811,15170,25170,38910,60600,85770,140500,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xaged,65+,6744,10480,18540,33830,55510,76830,119900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xall,All Sample Members,8665,14600,23760,36160,54250,73180,112600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xfb,Foreign Born,7250,11650,18300,29230,46350,63340,97150,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xfb,Not Foreign Born,8921,15170,24490,36880,55100,74320,114400,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xrea,Hispanic,7466,11750,17950,26200,36700,45620,60760,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xrea,NH AIAN,5632,10040,16630,24870,34850,42950,56440,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xrea,NH Asian,8491,14830,24320,39340,60620,80600,122400,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xrea,NH Black,7767,13210,20900,30950,43970,55190,74400,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xrea,NH NHOPI,8360,14100,20940,30060,41650,52160,69460,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,4,xrea,NH White,9257,15940,25830,38840,58490,79830,124600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xaged,16-24,4668,8232,13230,19280,26130,31890,42880,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xaged,25-34,7243,12080,18620,26380,35750,44330,58870,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xaged,35-44,8004,13530,21330,31290,44620,58750,90600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xaged,45-54,8316,14300,22610,33770,49630,66570,103200,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xaged,55-64,6595,11580,19640,31020,47010,64340,104600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xaged,65+,5397,8780,14870,27710,46370,63710,98220,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xall,All Sample Members,6657,11400,18820,28790,42410,56180,85330,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xfb,Foreign Born,7349,12030,17960,27140,42330,57850,88580,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xfb,Not Foreign Born,6636,11380,18850,28840,42410,56130,85230,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xrea,Hispanic,6684,10510,15670,21620,31050,39700,56080,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xrea,NH AIAN,5768,10010,16490,24250,33520,42330,57300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xrea,NH Asian,6866,12750,19110,28690,45410,62110,104100,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xrea,NH Black,5329,9149,14720,22300,31250,37810,47210,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xrea,NH NHOPI,6940,10520,16860,24770,36020,,,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,5,xrea,NH White,6917,11870,19600,29920,44260,59080,91130,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xaged,16-24,6000,10340,16780,25410,36050,45830,65950,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xaged,25-34,9313,15500,24710,36910,53530,69540,97660,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xaged,35-44,9885,17550,29410,45290,68750,94150,145100,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xaged,45-54,10320,18430,30600,47440,72410,100400,160800,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xaged,55-64,9115,16540,28150,44320,68930,96840,159600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xaged,65+,7099,11720,21700,38840,64560,93280,155900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xall,All Sample Members,8627,15150,25960,41060,62990,86360,134300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xfb,Foreign Born,7082,11950,19840,32740,52180,71300,107400,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xfb,Not Foreign Born,9523,17040,28380,43660,66410,91420,143900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xrea,Hispanic,7483,11780,18350,27840,39980,50090,66880,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xrea,NH AIAN,6970,12500,21130,32290,46850,60140,85930,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xrea,NH Asian,7585,14530,25550,40870,62280,82480,119400,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xrea,NH Black,7173,13350,23090,35060,49350,60790,79720,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xrea,NH NHOPI,8421,14220,22220,32400,45080,56000,73400,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,6,xrea,NH White,9972,18280,30460,47020,73080,102200,165100,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xaged,16-24,6273,10970,17360,25060,34550,43700,63760,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xaged,25-34,10620,16860,24850,34720,48190,60970,83380,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xaged,35-44,12420,19960,29920,43390,64260,86610,130900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xaged,45-54,12950,20810,31340,46200,69470,95860,151800,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xaged,55-64,9994,17280,27620,41990,64880,91420,147700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xaged,65+,6703,10840,19520,34530,56560,79480,127000,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xall,All Sample Members,9636,16520,26190,39150,58580,79230,121700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xfb,Foreign Born,8464,13970,22020,34440,53370,72150,107800,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xfb,Not Foreign Born,9760,16800,26540,39480,58970,79820,122800,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xrea,Hispanic,7521,12450,19270,27890,38610,47720,63460,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xrea,NH AIAN,7276,12710,20400,30150,43330,54880,74600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xrea,NH Asian,8469,14990,24020,37550,57060,75110,106200,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xrea,NH Black,8004,13700,21570,31590,44100,54470,72760,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xrea,NH NHOPI,9643,15580,22680,31900,44420,58900,82690,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,8,xrea,NH White,10320,17730,27790,41300,62000,84660,131300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xaged,16-24,6803,13220,21310,30360,42710,58280,103500,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xaged,25-34,12650,20350,29650,40970,57370,75850,114100,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xaged,35-44,15030,23730,34770,50310,79900,119000,210400,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xaged,45-54,16270,24680,36160,53500,85630,129300,236300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xaged,55-64,13160,21460,32340,48470,78040,118300,221300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xaged,65+,7358,11510,21210,37960,63620,93130,161700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xall,All Sample Members,11230,19690,30760,45720,71180,104300,183100,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xfb,Foreign Born,9913,17060,26970,41100,66310,99740,179500,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xfb,Not Foreign Born,11430,20100,31240,46240,71730,104800,183600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xrea,Hispanic,6702,12280,20230,30220,44150,57510,86080,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xrea,NH AIAN,8088,14880,24610,36570,58140,99620,180100,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xrea,NH Asian,10520,19210,30940,48820,78560,115700,185300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xrea,NH Black,7498,14290,23240,33790,46360,56480,74610,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xrea,NH NHOPI,11540,18640,27170,37960,51630,,,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,9,xrea,NH White,12290,21080,32260,47660,75120,110900,196900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xaged,16-24,6627,11680,18680,26980,36380,44710,62510,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xaged,25-34,11090,17940,26640,36680,48380,59880,78900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xaged,35-44,12360,20070,30060,42650,59940,77660,112900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xaged,45-54,13810,21670,32050,46230,66480,87960,135300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xaged,55-64,10820,17970,28220,42290,63840,86330,137100,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xaged,65+,7439,11180,19690,35360,57960,79750,125700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xall,All Sample Members,10020,16980,27010,39620,57020,74820,111600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xfb,Foreign Born,9170,15730,26040,41680,64620,85860,130100,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xfb,Not Foreign Born,10080,17060,27060,39510,56580,73980,109900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xrea,Hispanic,7859,12790,20140,29880,43560,56130,75380,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xrea,NH AIAN,8027,12630,20380,31210,44770,58750,,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xrea,NH Asian,9046,17050,29460,47730,72510,94850,141500,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xrea,NH Black,7292,12780,21090,31700,43780,53200,66270,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,10,xrea,NH White,10910,18340,28470,41290,59710,78750,119700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xaged,16-24,5117,9845,16550,25660,35920,48090,76260,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xaged,25-34,9075,16170,26670,40510,61740,81660,111300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xaged,35-44,9430,16760,28680,48990,80000,110200,175700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xaged,45-54,11740,20110,34080,58620,99590,146200,255900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xaged,55-64,11290,18490,29990,53610,95950,146200,261600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xaged,65+,9098,14860,25390,44000,77140,113500,198600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xall,All Sample Members,9104,16020,27230,45620,77170,108600,179900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xfb,Foreign Born,7301,12660,20140,34890,62030,88740,147100,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xfb,Not Foreign Born,9530,16960,28480,47190,79240,111600,185000,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xrea,Hispanic,8095,12350,18110,27620,48000,67620,101200,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xrea,NH AIAN,6641,12360,22480,37160,53670,,,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xrea,NH Asian,6392,12300,22450,40470,67420,98060,159600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xrea,NH Black,7725,13530,21850,32460,45860,56560,75040,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,11,xrea,NH White,16760,29050,47050,76350,125200,185100,320000,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xaged,16-24,5382,9253,14620,21400,29650,37250,53860,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xaged,25-34,8354,13580,20940,30260,42360,53780,75190,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xaged,35-44,8984,15040,24130,36410,54080,73950,117300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xaged,45-54,9217,15540,25020,38710,59320,83710,139700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xaged,55-64,7730,13230,22270,35630,57280,83660,148700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xaged,65+,6426,10130,18100,34300,59440,87610,152600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xall,All Sample Members,7598,12800,21330,33620,51950,72370,118900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xfb,Foreign Born,6533,10660,17300,28070,44520,61460,98300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xfb,Not Foreign Born,7925,13440,22280,34680,53380,74590,123000,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xrea,Hispanic,6507,10500,16760,26250,40020,53240,79880,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xrea,NH AIAN,6603,11270,18030,27200,39390,50530,74190,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xrea,NH Asian,7222,12730,21160,34360,53720,74550,120900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xrea,NH Black,6364,10570,16660,25030,35600,43960,56600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xrea,NH NHOPI,8056,13290,20090,28840,39590,48980,65070,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,12,xrea,NH White,8202,14040,23390,36390,56700,80560,135000,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xaged,16-24,5384,9564,15800,23480,32580,41020,58760,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xaged,25-34,9270,15280,23580,33760,47510,60490,83150,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xaged,35-44,10360,17400,27380,40860,61260,83610,129600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xaged,45-54,11060,18450,28860,43740,66210,91980,148600,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xaged,55-64,8752,15150,25180,39340,61640,87970,148000,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xaged,65+,6257,10180,18230,33700,56150,80260,131900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xall,All Sample Members,8505,14700,24160,36990,55830,75980,118200,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xfb,Foreign Born,8271,13740,22220,35520,56240,77440,119800,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xfb,Not Foreign Born,8522,14780,24300,37080,55800,75890,118000,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xrea,Hispanic,7876,12710,19810,30210,45790,60930,89520,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xrea,NH AIAN,6947,12110,20000,30090,44320,56040,76960,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xrea,NH Asian,7600,13140,21770,35570,57330,77220,116900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xrea,NH Black,6841,11520,18670,28030,39160,47750,60970,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xrea,NH NHOPI,8061,13150,20580,30730,43550,53960,77440,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,13,xrea,NH White,9392,16410,26490,40220,61470,84990,135300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xaged,16-24,5849,9310,15080,22570,31580,38820,53490,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xaged,25-34,9028,13830,21250,30590,41340,50530,66620,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xaged,35-44,10410,17100,26170,38090,54530,71290,104800,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xaged,45-54,11100,18840,29310,43150,63390,86190,132700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xaged,55-64,10380,17800,27800,41210,60990,83980,132100,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xaged,65+,7786,13470,23120,37150,56740,76930,121300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xall,All Sample Members,8736,14880,24060,36270,53030,70380,106300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xfb,Foreign Born,6574,11940,19440,29340,43500,58420,89300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xfb,Not Foreign Born,9423,15890,25410,37910,55030,72960,110200,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xrea,Hispanic,7206,11850,18570,27970,38950,48280,66710,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xrea,NH AIAN,7241,11070,17470,27380,38010,48660,,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xrea,NH Asian,9267,16080,25340,37290,52920,68850,100300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xrea,NH Black,8575,11870,17180,24300,34050,42930,56210,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xrea,NH NHOPI,6413,11730,19410,28870,39760,48750,63690,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,15,xrea,NH White,9005,14840,25230,40770,64090,90060,142300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xaged,16-24,5601,9400,14520,20650,27550,33640,45890,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xaged,25-34,8533,13410,19960,27610,37280,46070,60990,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xaged,35-44,9515,15610,23430,33540,47570,61810,91910,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xaged,45-54,9757,16260,24660,36090,51740,68400,106700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xaged,55-64,7407,12940,21460,33050,49770,68540,108900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xaged,65+,5304,8887,15010,27330,45690,63490,97570,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xall,All Sample Members,7560,12740,20420,30440,44340,58060,86880,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xfb,Foreign Born,7288,11550,17700,26650,40720,54000,80590,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xfb,Not Foreign Born,7574,12810,20560,30590,44490,58270,87250,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xrea,Hispanic,6944,10880,16190,23010,31810,39760,52330,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xrea,NH AIAN,5490,10050,16290,24370,34070,42810,55130,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xrea,NH Asian,7811,13390,21810,33040,49770,64950,101500,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xrea,NH Black,6620,11400,18780,28620,41090,49530,69050,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xrea,NH NHOPI,7996,12320,18420,26180,36170,,,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,16,xrea,NH White,7637,12930,20730,30890,45010,59060,89080,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xaged,16-24,6240,11800,19090,27290,37350,47120,72190,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xaged,25-34,10900,18040,26960,37890,52750,67620,95690,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xaged,35-44,12420,20270,30410,43860,65210,90720,145800,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xaged,45-54,13360,21120,31330,45660,68520,96670,161200,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xaged,55-64,10420,17770,27860,41570,64130,92010,159800,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xaged,65+,6585,10400,18810,34140,56880,81820,136400,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xall,All Sample Members,9579,16880,26950,39990,59550,82150,132300,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xfb,Foreign Born,8831,14850,23310,35660,54630,74910,118700,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xfb,Not Foreign Born,9687,17220,27410,40460,60120,83000,133900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xrea,Hispanic,9300,14480,21130,29560,40600,50360,68680,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xrea,NH AIAN,7180,13540,22210,33160,47950,62400,90290,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xrea,NH Asian,9306,17450,28670,43880,66140,91130,142200,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xrea,NH Black,6581,12410,21230,32060,44630,54400,70080,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xrea,NH NHOPI,9857,16590,25600,36190,49810,64590,99350,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,17,xrea,NH White,10200,17960,28330,41780,62970,88100,144900,,,,
1998,mafid,all,in_1040_samp,mafid_iagi_pf,state,18,xaged,16-24,6044,10930,17330,24260,32120,38770,52120,,,,
